Code,Title,Description,Source
11,"Agriculture, Forestry, Fishing and Hunting","Agriculture, Forestry, Fishing and Hunting",NAICS
111,Crop ProductionT,Crop ProductionT,NAICS
1111,Oilseed and Grain Farming,Oilseed and Grain Farming,NAICS
11111,Soybean Farming,Soybean Farming,NAICS
111110,Soybean Farming,Soybean Farming,NAICS
11112,Oilseed (except Soybean) FarmingT,Oilseed (except Soybean) FarmingT,NAICS
111120,Oilseed (except Soybean) Farming,Oilseed (except Soybean) Farming,NAICS
11113,Dry Pea and Bean Farming,Dry Pea and Bean Farming,NAICS
111130,Dry Pea and Bean Farming,Dry Pea and Bean Farming,NAICS
11114,Wheat Farming,Wheat Farming,NAICS
111140,Wheat Farming,Wheat Farming,NAICS
11115,Corn Farming,Corn Farming,NAICS
111150,Corn Farming,Corn Farming,NAICS
11116,Rice Farming,Rice Farming,NAICS
111160,Rice Farming,Rice Farming,NAICS
11119,Other Grain Farming,Other Grain Farming,NAICS
111191,Oilseed and Grain Combination Farming,Oilseed and Grain Combination Farming,NAICS
111199,All Other Grain Farming,All Other Grain Farming,NAICS
1112,Vegetable and Melon FarmingT,Vegetable and Melon FarmingT,NAICS
11121,Vegetable and Melon Farming,Vegetable and Melon Farming,NAICS
111211,Potato Farming,Potato Farming,NAICS
111219,Other Vegetable (except Potato) and Melon Farming,Other Vegetable (except Potato) and Melon Farming,NAICS
1113,Fruit and Tree Nut FarmingT,Fruit and Tree Nut FarmingT,NAICS
11131,Orange Groves,Orange Groves,NAICS
111310,Orange Groves,Orange Groves,NAICS
11132,Citrus (except Orange) GrovesT,Citrus (except Orange) GrovesT,NAICS
111320,Citrus (except Orange) Groves,Citrus (except Orange) Groves,NAICS
11133,Noncitrus Fruit and Tree Nut Farming,Noncitrus Fruit and Tree Nut Farming,NAICS
111331,Apple Orchards,Apple Orchards,NAICS
111332,Grape Vineyards,Grape Vineyards,NAICS
111333,Strawberry Farming,Strawberry Farming,NAICS
111334,Berry (except Strawberry) Farming,Berry (except Strawberry) Farming,NAICS
111335,Tree Nut Farming,Tree Nut Farming,NAICS
111336,Fruit and Tree Nut Combination Farming,Fruit and Tree Nut Combination Farming,NAICS
111339,Other Noncitrus Fruit Farming,Other Noncitrus Fruit Farming,NAICS
1114,"Greenhouse, Nursery, and Floriculture ProductionT","Greenhouse, Nursery, and Floriculture ProductionT",NAICS
11141,Food Crops Grown Under Cover,Food Crops Grown Under Cover,NAICS
111411,Mushroom Production,Mushroom Production,NAICS
111419,Other Food Crops Grown Under Cover,Other Food Crops Grown Under Cover,NAICS
11142,Nursery and Floriculture Production,Nursery and Floriculture Production,NAICS
111421,Nursery and Tree Production,Nursery and Tree Production,NAICS
111422,Floriculture Production,Floriculture Production,NAICS
1119,Other Crop FarmingT,Other Crop FarmingT,NAICS
11191,Tobacco Farming,Tobacco Farming,NAICS
111910,Tobacco Farming,Tobacco Farming,NAICS
11192,Cotton Farming,Cotton Farming,NAICS
111920,Cotton Farming,Cotton Farming,NAICS
11193,Sugarcane FarmingT,Sugarcane FarmingT,NAICS
111930,Sugarcane Farming,Sugarcane Farming,NAICS
11194,Hay FarmingT,Hay FarmingT,NAICS
111940,Hay Farming,Hay Farming,NAICS
11199,All Other Crop FarmingT,All Other Crop FarmingT,NAICS
111991,Sugar Beet Farming,Sugar Beet Farming,NAICS
111992,Peanut Farming,Peanut Farming,NAICS
111998,All Other Miscellaneous Crop Farming,All Other Miscellaneous Crop Farming,NAICS
112,Animal Production and AquacultureT,Animal Production and AquacultureT,NAICS
1121,Cattle Ranching and FarmingT,Cattle Ranching and FarmingT,NAICS
11211,"Beef Cattle Ranching and Farming, including FeedlotsT","Beef Cattle Ranching and Farming, including FeedlotsT",NAICS
112111,Beef Cattle Ranching and Farming,Beef Cattle Ranching and Farming,NAICS
112112,Cattle Feedlots,Cattle Feedlots,NAICS
11212,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,NAICS
112120,Dairy Cattle and Milk Production,Dairy Cattle and Milk Production,NAICS
11213,Dual-Purpose Cattle Ranching and FarmingT,Dual-Purpose Cattle Ranching and FarmingT,NAICS
112130,Dual-Purpose Cattle Ranching and Farming,Dual-Purpose Cattle Ranching and Farming,NAICS
1122,Hog and Pig FarmingT,Hog and Pig FarmingT,NAICS
11221,Hog and Pig FarmingT,Hog and Pig FarmingT,NAICS
112210,Hog and Pig Farming,Hog and Pig Farming,NAICS
1123,Poultry and Egg ProductionT,Poultry and Egg ProductionT,NAICS
11231,Chicken Egg ProductionT,Chicken Egg ProductionT,NAICS
112310,Chicken Egg Production,Chicken Egg Production,NAICS
11232,Broilers and Other Meat Type Chicken ProductionT,Broilers and Other Meat Type Chicken ProductionT,NAICS
112320,Broilers and Other Meat Type Chicken Production,Broilers and Other Meat Type Chicken Production,NAICS
11233,Turkey Production,Turkey Production,NAICS
112330,Turkey Production,Turkey Production,NAICS
11234,Poultry HatcheriesT,Poultry HatcheriesT,NAICS
112340,Poultry Hatcheries,Poultry Hatcheries,NAICS
11239,Other Poultry ProductionT,Other Poultry ProductionT,NAICS
112390,Other Poultry Production,Other Poultry Production,NAICS
1124,Sheep and Goat FarmingT,Sheep and Goat FarmingT,NAICS
11241,Sheep FarmingT,Sheep FarmingT,NAICS
112410,Sheep Farming,Sheep Farming,NAICS
11242,Goat Farming,Goat Farming,NAICS
112420,Goat Farming,Goat Farming,NAICS
1125,AquacultureT,AquacultureT,NAICS
11251,AquacultureT,AquacultureT,NAICS
112511,Finfish Farming and Fish Hatcheries,Finfish Farming and Fish Hatcheries,NAICS
112512,Shellfish Farming,Shellfish Farming,NAICS
112519,Other Aquaculture,Other Aquaculture,NAICS
1129,Other Animal ProductionT,Other Animal ProductionT,NAICS
11291,Apiculture,Apiculture,NAICS
112910,Apiculture,Apiculture,NAICS
11292,Horses and Other Equine ProductionT,Horses and Other Equine ProductionT,NAICS
112920,Horses and Other Equine Production,Horses and Other Equine Production,NAICS
11293,Fur-Bearing Animal and Rabbit ProductionT,Fur-Bearing Animal and Rabbit ProductionT,NAICS
112930,Fur-Bearing Animal and Rabbit Production,Fur-Bearing Animal and Rabbit Production,NAICS
11299,All Other Animal ProductionT,All Other Animal ProductionT,NAICS
112990,All Other Animal Production,All Other Animal Production,NAICS
113,Forestry and LoggingT,Forestry and LoggingT,NAICS
1131,Timber Tract OperationsT,Timber Tract OperationsT,NAICS
11311,Timber Tract OperationsT,Timber Tract OperationsT,NAICS
113110,Timber Tract Operations,Timber Tract Operations,NAICS
1132,Forest Nurseries and Gathering of Forest ProductsT,Forest Nurseries and Gathering of Forest ProductsT,NAICS
11321,Forest Nurseries and Gathering of Forest ProductsT,Forest Nurseries and Gathering of Forest ProductsT,NAICS
113210,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,NAICS
1133,LoggingT,LoggingT,NAICS
11331,LoggingT,LoggingT,NAICS
113310,Logging,Logging,NAICS
114,"Fishing, Hunting and TrappingT","Fishing, Hunting and TrappingT",NAICS
1141,FishingT,FishingT,NAICS
11411,FishingT,FishingT,NAICS
114111,Finfish Fishing,Finfish Fishing,NAICS
